Date,Province/State,Confirmed,Deaths,Recovered
2020-01-24 12:00:00,Ningxia,2.0,0.0,0.0
2020-01-24 12:00:00,Qinghai,0.0,0.0,0.0
2020-01-24 12:00:00,Shaanxi,5.0,0.0,0.0
2020-01-24 12:00:00,Shandong,15.0,0.0,0.0
2020-01-24 12:00:00,Shanghai,20.0,0.0,1.0
2020-01-24 12:00:00,Shanxi,1.0,0.0,0.0
2020-01-24 12:00:00,Sichuan,15.0,0.0,0.0
2020-01-24 12:00:00,Taiwan,0.0,0.0,0.0
2020-01-24 12:00:00,Tianjin,8.0,0.0,0.0
2020-01-24 12:00:00,Tibet,0.0,0.0,0.0
2020-01-24 12:00:00,Xinjiang,2.0,0.0,0.0
2020-01-24 12:00:00,Yunnan,5.0,0.0,0.0
2020-01-24 12:00:00,Zhejiang,43.0,0.0,1.0
2020-01-25 22:00:00,Anhui,60.0,0.0,0.0
2020-01-25 22:00:00,Beijing,51.0,0.0,2.0
2020-01-25 22:00:00,Chongqing,75.0,0.0,0.0
2020-01-25 22:00:00,Fujian,18.0,1.0,0.0
2020-01-25 22:00:00,Gansu,7.0,0.0,0.0
2020-01-25 22:00:00,Guangdong,98.0,0.0,2.0
2020-01-25 22:00:00,Guangxi,33.0,0.0,0.0
2020-01-25 22:00:00,Guizhou,5.0,0.0,0.0
2020-01-25 22:00:00,Hainan,19.0,0.0,0.0
2020-01-25 22:00:00,Hebei,13.0,1.0,0.0
2020-01-25 22:00:00,Heilongjiang,15.0,0.0,0.0
2020-01-25 22:00:00,Henan,83.0,1.0,0.0
2020-01-25 22:00:00,Hong Kong,0.0,0.0,0.0
2020-01-25 22:00:00,Hubei,1052.0,52.0,42.0
2020-01-25 22:00:00,Hunan,69.0,0.0,0.0
2020-01-25 22:00:00,Inner Mongolia,7.0,0.0,0.0
2020-01-25 22:00:00,Jiangsu,31.0,0.0,1.0
2020-01-25 22:00:00,Jiangxi,36.0,0.0,0.0
2020-01-25 22:00:00,Jilin,4.0,0.0,0.0
2020-01-25 22:00:00,Liaoning,19.0,0.0,0.0
2020-01-25 22:00:00,Macau,0.0,0.0,0.0
2020-01-25 22:00:00,Ningxia,4.0,0.0,0.0
2020-01-25 22:00:00,Qinghai,1.0,0.0,0.0
2020-01-25 22:00:00,Shaanxi,15.0,0.0,0.0
2020-01-25 22:00:00,Shandong,39.0,0.0,0.0
2020-01-25 22:00:00,Shanghai,40.0,1.0,1.0
2020-01-25 22:00:00,Shanxi,9.0,0.0,0.0
2020-01-25 22:00:00,Sichuan,44.0,0.0,0.0
2020-01-25 22:00:00,Taiwan,0.0,0.0,0.0
2020-01-25 22:00:00,Tianjin,13.0,0.0,0.0
2020-01-25 22:00:00,Tibet,0.0,0.0,0.0
2020-01-25 22:00:00,Xinjiang,4.0,0.0,0.0
2020-01-25 22:00:00,Yunnan,11.0,0.0,0.0
2020-01-25 22:00:00,Zhejiang,104.0,0.0,1.0
2020-01-26 23:00:00,Anhui,70.0,0.0,0.0
2020-01-26 23:00:00,Beijing,68.0,0.0,2.0
2020-01-26 23:00:00,Chongqing,110.0,0.0,0.0
2020-01-26 23:00:00,Fujian,35.0,0.0,0.0
2020-01-26 23:00:00,Gansu,14.0,0.0,0.0
2020-01-26 23:00:00,Guangdong,146.0,0.0,2.0
2020-01-26 23:00:00,Guangxi,46.0,0.0,0.0
2020-01-26 23:00:00,Guizhou,7.0,0.0,0.0
2020-01-26 23:00:00,Hainan,22.0,0.0,0.0
2020-01-26 23:00:00,Hebei,18.0,1.0,0.0
2020-01-26 23:00:00,Heilongjiang,21.0,1.0,0.0
2020-01-26 23:00:00,Henan,128.0,1.0,0.0
2020-01-26 23:00:00,Hong Kong,0.0,0.0,0.0
2020-01-26 23:00:00,Hubei,1423.0,76.0,44.0
2020-01-26 23:00:00,Hunan,100.0,0.0,0.0
2020-01-26 23:00:00,Inner Mongolia,11.0,0.0,0.0
2020-01-26 23:00:00,Jiangsu,47.0,0.0,1.0
2020-01-26 23:00:00,Jiangxi,48.0,0.0,0.0
2020-01-26 23:00:00,Jilin,6.0,0.0,0.0
2020-01-26 23:00:00,Liaoning,23.0,0.0,0.0
2020-01-26 23:00:00,Macau,0.0,0.0,0.0
2020-01-26 23:00:00,Ningxia,4.0,0.0,0.0
2020-01-26 23:00:00,Qinghai,4.0,0.0,0.0
2020-01-26 23:00:00,Shaanxi,22.0,0.0,0.0
2020-01-26 23:00:00,Shandong,63.0,0.0,0.0
2020-01-26 23:00:00,Shanghai,53.0,1.0,1.0
2020-01-26 23:00:00,Shanxi,13.0,0.0,0.0
2020-01-26 23:00:00,Sichuan,69.0,0.0,0.0
2020-01-26 23:00:00,Taiwan,0.0,0.0,0.0
2020-01-26 23:00:00,Tianjin,14.0,0.0,0.0
2020-01-26 23:00:00,Tibet,0.0,0.0,0.0
2020-01-26 23:00:00,Xinjiang,5.0,0.0,0.0
2020-01-26 23:00:00,Yunnan,19.0,0.0,0.0
2020-01-26 23:00:00,Zhejiang,128.0,0.0,1.0
